user_id,recency,frequency,monetary
R00372,28,24,361.01
R00373,40,24,349.84
R00374,42,19,292.72
R00375,23,16,269.85
R00376,57,15,228.11
R00377,34,22,332.76
R00378,53,19,254.02
R00379,84,18,245.87
R00380,29,22,323.27
R00381,52,25,357.2
R00382,25,19,352.45
R00383,25,19,291.96
R00384,43,18,225.38
R00385,45,24,311.06
R00386,33,20,325.55
R00387,41,18,254.42000000000002
R00388,36,27,420.37
R00389,59,16,239.3
R00390,64,23,374.1
R00391,43,22,342.81
R00392,33,19,289.1
R00393,25,16,241.3
R00394,28,16,273.83
R00395,26,30,507.2
R00396,28,24,368.18
R00397,32,22,377.45
R00398,79,15,287.29
R00399,73,20,279.38
R00400,31,14,213.66
R00401,72,21,344.62
R00402,50,19,261.82
R00403,24,28,441.99
R00404,30,23,280.78999999999996
R00405,29,21,397.93
R00406,81,16,269.76
R00407,98,18,306.1
R00408,41,22,364.05
R00409,28,26,395.75
R00410,63,21,344.6
R00411,25,18,270.04
R00412,28,19,251.92
R00413,33,27,389.92
R00414,25,14,214.45
R00415,23,20,271.05
R00416,57,19,272.3
R00417,24,27,344.99
R00418,36,22,276.0
R00419,29,21,334.02
R00420,75,22,383.0
R00421,23,16,210.34
R00422,31,17,245.81
R00423,76,28,481.55
R00424,52,22,316.34
R00425,27,18,276.83
R00426,38,19,304.47
R00427,121,15,255.52
R00428,24,23,373.8
R00429,39,27,349.52
R00430,55,19,322.59000000000003
R00431,42,17,269.51
R00432,34,16,225.28
R00433,47,17,237.96
R00434,63,15,274.21
R00435,42,12,189.95
R00436,41,15,187.28
R00437,63,16,218.89000000000001
R00438,24,16,246.63
R00439,34,24,354.63
R00440,70,12,203.95
R00441,26,20,345.64
R00442,28,22,377.23
R00443,28,12,178.84
R00444,26,22,380.59999999999997
R00445,70,21,291.74
R00446,25,31,449.58
R00447,30,25,413.22
R00448,31,26,420.08
R00449,45,20,323.77
R00450,23,18,264.31
R00451,28,26,361.08
R00452,25,22,358.66
R00453,60,17,246.84
R00454,23,18,287.84
R00455,58,21,303.01
R00456,29,21,333.12
R00457,25,12,198.67
R00458,32,25,389.94
R00459,67,16,269.78
R00460,25,15,237.57
R00461,41,17,293.51
R00462,55,27,374.49
R00463,44,31,455.16
R00464,67,14,238.74
R00465,47,29,429.28
R00466,30,13,210.32
R00467,29,17,248.05
R00468,26,18,302.62
R00469,50,21,358.54
R00470,45,19,310.78000000000003
R00471,28,22,308.84000000000003
R00472,24,23,336.54
R00473,35,22,370.31
R00474,58,23,323.31
R00475,24,22,358.15
R00476,72,18,273.26
R00477,24,26,404.28
R00478,61,17,304.13
R00479,26,29,417.58
R00480,26,18,252.07
R00481,84,16,279.73
R00482,42,22,308.78
R00483,33,21,288.53
R00484,32,19,288.44
R00485,42,26,417.74
R00486,28,28,431.62
R00487,28,24,323.78000000000003
R00488,41,17,241.12
R00489,52,14,200.73
R00490,23,17,278.24
R00491,26,22,351.97
R00492,37,23,355.77
R00493,24,14,248.22
R00494,49,24,339.05
R00495,28,22,338.96
R00496,37,22,322.21
R00497,33,20,249.85000000000002
R00498,23,24,392.25
R00499,41,20,359.14
R00500,44,26,370.33
R00501,32,12,152.41
R00502,47,27,440.63
R00503,43,27,393.31
R00504,35,21,306.48
R00505,66,24,354.12
R00506,27,17,242.89
R00507,26,24,391.06
R00508,25,14,252.3
R00509,37,20,345.44
R00510,35,27,413.44
R00511,28,25,381.71
R00512,42,22,355.72
R00513,25,21,312.56
R00514,60,24,363.94
R00515,27,20,300.21
R00516,36,26,430.67
R00517,44,12,179.47
R00518,24,30,410.77
R00519,33,20,354.13
R00520,46,20,354.59
R00521,36,16,244.99
R00522,23,21,266.38
R00523,23,18,261.42
R00524,37,14,202.13
R00525,29,19,325.12
R00526,39,11,169.18
R00527,27,15,207.8
R00528,99,16,263.8
R00529,39,30,498.63
R00530,104,17,243.32
R00531,53,15,198.43
R00532,51,17,276.13
R00533,128,15,250.66
R00534,29,19,276.05
R00535,31,18,299.2
R00536,40,25,388.64
R00537,24,15,219.29
R00538,43,20,321.42
R00539,41,23,362.15
R00540,46,28,464.02
R00541,30,18,244.36
R00542,41,16,248.83
R00543,32,24,402.51
R00544,38,19,297.54
R00545,26,18,278.09
R00546,50,17,302.31
R00547,25,17,254.53
R00548,27,18,257.11
R00549,34,19,280.11
R00550,33,27,413.4
R00551,58,17,212.99
R00552,34,22,287.87
R00553,23,18,229.16
R00554,32,20,322.61
R00555,56,23,361.25
R00556,29,19,278.76
R00557,36,23,378.07
R00558,26,27,441.96
R00559,26,19,293.58
R00560,50,23,304.81
R00561,63,19,243.9
R00562,30,22,316.1
R00563,55,21,341.39
R00564,24,18,257.73
R00565,31,28,459.19
R00566,49,19,287.31
R00567,35,18,205.13
R00568,33,16,264.0
R00569,33,24,372.72
R00570,28,21,285.76
R00571,52,21,375.78000000000003
R00572,24,15,266.21
R00573,36,15,240.24
R00574,72,24,399.93
R00575,27,20,283.89
R00576,47,16,305.55
R00577,50,20,320.33
R00578,31,13,215.76999999999998
R00579,31,14,250.63
R00580,47,20,319.27
R00581,51,20,331.6
R00582,63,19,263.82
R00583,125,18,278.12
R00584,31,19,253.43
R00585,26,20,260.77
R00586,42,28,408.68
R00587,81,16,298.87
R00588,28,16,199.09
R00589,78,21,397.0
R00590,43,15,221.06
R00591,28,16,265.92
R00592,41,13,222.28
R00593,27,24,363.05
R00594,61,20,291.51
R00595,23,21,317.79
R00596,63,14,223.81
R00597,33,28,445.25
R00598,27,17,265.21999999999997
R00599,43,24,352.05
R00600,25,32,543.05
R00601,32,14,216.26
R00602,33,24,355.1
R00603,43,22,287.93
R00604,38,16,225.23000000000002
R00605,24,19,310.37
R00606,36,22,346.64
R00607,25,21,320.59
R00608,24,24,368.18
R00609,81,23,362.17
R00610,24,27,398.62
R00611,27,18,321.78
R00612,34,21,303.54
R00613,35,15,239.19
R00614,27,21,294.53
R00615,23,29,397.63
R00616,43,35,564.23
R00617,27,24,364.65
R00618,34,15,220.41
R00619,47,22,316.38
R00620,50,17,257.62
R00621,49,14,202.41
R00622,51,20,307.3
R00623,62,18,298.79
R00624,30,26,435.69
R00625,23,17,250.17
R00626,42,22,357.19
R00627,103,10,139.41
R00628,43,12,164.64
R00629,37,23,348.67
R00630,39,19,265.11
R00631,36,16,266.98
R00632,28,14,203.66
R00633,27,17,296.32
R00634,47,23,330.82
R00635,52,21,341.56
R00636,25,18,268.59
R00637,41,27,448.77
R00638,50,11,202.92000000000002
R00639,42,20,283.22
R00640,31,15,239.1
R00641,30,18,273.48
R00642,56,18,239.53
R00643,37,10,172.68
R00644,26,29,487.16999999999996
R00645,102,20,265.12
R00646,44,14,237.10999999999999
R00647,45,20,313.68
R00648,72,23,351.73
R00649,89,15,232.72
R00650,31,24,356.74
R00651,31,18,328.23
R00652,36,18,278.54
R00653,27,27,389.59
R00654,30,21,312.17
R00655,54,22,332.11
R00656,26,17,237.88
R00657,24,17,248.04999999999998
R00658,41,22,379.28
R00659,33,16,234.77
R00660,34,17,291.49
R00661,40,27,455.92
R00662,30,17,222.47
R00663,30,12,202.66
R00664,77,18,301.71999999999997
R00665,28,22,318.46
R00666,23,35,533.47
R00667,30,22,325.24
R00668,35,9,145.84
R00669,84,20,314.67
R00670,45,21,352.44
R00671,55,16,277.52
R00672,23,23,329.24
R00673,26,18,254.39
R00674,30,25,362.88
R00675,28,24,336.53
R00676,36,19,292.15
R00677,25,17,265.57
R00678,26,22,329.12
R00679,25,27,460.77
R00680,25,21,384.88
R00681,30,26,456.94
R00682,46,19,265.38
R00683,36,26,478.1
R00684,43,14,201.15
R00685,26,13,195.73
R00686,38,27,474.3
R00687,24,27,407.89
R00688,26,18,245.03
R00689,50,12,168.79
R00690,33,16,274.28000000000003
R00691,28,22,395.91
R00692,63,24,385.74
R00693,38,22,296.84000000000003
R00694,49,17,256.56
R00695,27,23,375.57
R00696,73,18,252.2
R00697,47,28,455.91
R00698,61,12,213.16
R00699,36,27,422.17
R00700,71,25,380.59
R00701,38,22,312.52
R00702,45,20,284.48
R00703,31,19,314.23
R00704,31,20,263.84
R00705,26,25,423.93
R00706,25,22,268.86
R00707,45,19,313.51
R00708,53,21,292.07
R00709,35,23,339.41
R00710,24,23,373.08
R00711,29,28,433.45
R00712,51,27,382.31
R00713,64,14,232.89
R00714,58,19,286.54
R00715,48,25,375.22
R00716,24,24,368.24
R00717,31,18,270.08
R00718,23,25,404.05
R00719,25,21,302.33
R00720,33,18,261.43
R00721,56,16,235.21
R00722,52,13,248.0
R00723,47,20,289.25
R00724,38,17,266.32
R00725,29,18,251.29
R00726,28,19,293.31
R00727,39,13,182.8
R00728,34,12,168.77
R00729,53,19,243.66
R00730,32,19,306.73
R00731,97,20,310.3
R00732,51,18,307.03
R00733,57,19,311.71
R00734,49,12,230.6
R00735,55,25,403.90999999999997
R00736,72,18,283.26
R00737,50,27,397.42
R00738,54,17,242.47
R00739,26,37,507.89
R00740,39,16,260.03
R00741,25,14,231.23000000000002
R00742,34,15,233.84
R00743,53,20,299.41
R00744,25,19,274.48
R00745,23,26,399.95
R00746,51,14,204.22
R00747,32,19,292.05
R00748,38,14,234.77
R00749,65,27,495.68
R00750,28,30,454.31
R00751,31,27,371.18
R00752,30,17,201.32999999999998
R00753,24,25,347.6
R00754,99,16,279.84000000000003
R00755,45,29,465.03
R00756,47,20,309.68
R00757,28,14,212.2
R00758,55,27,393.98
R00759,37,16,207.57
R00760,39,21,295.95
R00761,38,9,169.43
R00762,25,23,355.51
R00763,45,21,313.22
R00764,55,14,225.44
R00765,42,13,233.02
R00766,40,27,405.15
R00767,41,21,286.55
R00768,30,24,401.06
R00769,85,17,258.73
R00770,26,25,440.99
R00771,45,24,360.45
R00772,31,16,260.19
R00773,78,19,269.34
R00774,33,14,175.37
R00775,29,27,436.08000000000004
R00776,65,14,232.08
R00777,120,21,290.61
R00778,49,25,415.7
R00779,48,17,288.36
R00780,49,16,248.31
R00781,42,22,372.24
R00782,47,27,399.28000000000003
R00783,50,14,220.64
R00784,51,14,233.81
R00785,57,15,196.59
R00786,26,29,493.51
R00787,23,18,269.97
R00788,49,21,338.40999999999997
R00789,37,19,295.65
R00790,36,20,348.99
R00791,44,18,302.04
R00792,25,18,261.86
R00793,59,18,241.41
R00794,37,21,361.11
R00795,32,16,237.64
R00796,50,24,328.07
R00797,45,15,228.8
R00798,29,25,352.9
R00799,34,20,266.21
R00800,31,18,237.69
R00801,27,21,309.13
R00802,41,16,237.37
R00803,40,18,254.69
R00804,30,18,262.92
R00805,33,12,180.11
R00806,32,21,316.79
R00807,30,19,292.92
R00808,27,20,363.57
R00809,48,16,269.91
R00810,24,21,282.01
R00811,29,25,360.38
R00812,32,29,393.83
R00813,58,22,327.28
R00814,73,17,330.0
R00815,41,26,346.74
R00816,23,19,306.78
R00817,35,28,413.28
R00818,43,27,386.38
R00819,25,22,348.18
R00820,47,18,270.54
R00821,30,17,246.69
R00822,41,21,346.99
R00823,23,14,178.78
R00824,33,26,346.73
R00825,39,22,399.84
R00826,24,19,255.39
R00827,49,27,454.38
R00828,28,16,238.06
R00829,52,22,337.11
R00830,34,21,302.77
R00831,34,22,354.38
R00832,66,20,315.16
R00833,30,23,331.11
R00834,30,18,257.51
R00835,98,16,232.75
R00836,46,22,300.69
R00837,30,25,415.28999999999996
R00838,45,23,379.12
R00839,57,19,244.57
R00840,24,20,356.37
R00841,46,23,339.1
R00842,26,24,364.88
R00843,43,17,251.9
R00844,29,18,258.51
R00845,46,24,411.43
R00846,59,16,222.13
R00847,28,25,372.41
R00848,76,20,324.99
R00849,28,16,241.51
R00850,115,10,152.46
R00851,40,17,267.51
R00852,23,21,304.1
R00853,39,22,329.68
R00854,32,15,232.92
R00855,25,15,194.12
R00856,26,23,351.4
R00857,44,20,243.0
R00858,26,21,347.18
R00859,60,17,290.05
R00860,46,24,347.75
R00861,39,19,330.5
R00862,33,15,223.88
R00863,41,17,263.05
R00864,36,24,369.55
R00865,57,19,299.04
R00866,37,22,383.97
R00867,27,18,283.22
R00868,31,24,338.4
R00869,36,14,233.01
R00870,38,17,322.40999999999997
R00871,36,21,380.3
R00872,31,23,306.39
R00873,57,13,198.21
R00874,41,17,265.02
R00875,71,15,230.72
R00876,51,17,263.13
R00877,23,14,203.49
R00878,33,13,201.32
R00879,31,20,368.83
R00880,34,23,391.67
R00881,51,20,324.14
R00882,40,25,377.68
R00883,30,18,295.1
R00884,34,25,392.86
R00885,33,19,301.35
R00886,40,23,376.32
R00887,35,19,319.73
R00888,49,14,247.62
R00889,24,23,352.1
R00890,87,20,280.81
R00891,27,27,448.09
R00892,27,19,282.88
R00893,43,15,224.62
R00894,32,20,285.38
R00895,49,26,382.64
R00896,60,22,361.46
R00897,77,16,231.67
R00898,25,16,226.99
R00899,95,15,255.59
R00900,27,25,446.48
R00901,47,25,409.04
R00902,52,17,277.03
R00903,71,26,393.58
R00904,37,19,301.07
R00905,31,23,382.46
R00906,79,24,363.0
R00907,49,18,311.95
R00908,31,29,525.55
R00909,23,18,290.46
R00910,26,22,345.81
R00911,35,28,428.87
R00912,24,19,260.74
R00913,41,23,350.31
R00914,34,13,201.04000000000002
R00915,46,16,244.96
R00916,28,21,311.46
R00917,44,16,215.26
R00918,65,19,297.11
R00919,39,20,313.1
R00920,34,19,302.0
R00921,24,17,250.86
R00922,24,17,245.94
R00923,43,25,359.38
R00924,30,17,271.77
R00925,42,20,300.45
R00926,37,32,526.49
R00927,28,23,409.28
R00928,41,15,237.47
R00929,35,25,428.69
R00930,27,18,285.86
R00931,48,15,216.89
R00932,31,21,320.47
R00933,33,16,250.26
R00934,53,21,322.99
R00935,25,21,281.4
R00936,40,24,371.51
R00937,35,16,235.52
R00938,28,17,289.41
R00939,62,17,315.57
R00940,24,22,329.65
R00941,24,30,457.29
R00942,32,15,235.48000000000002
R00943,47,21,283.18
R00944,62,21,306.29
R00945,23,23,352.58
R00946,54,20,342.49
R00947,30,26,393.79
R00948,29,24,389.11
R00949,30,22,348.38
R00950,37,18,289.21
R00951,31,23,300.67
R00952,26,18,246.66
R00953,42,23,346.65999999999997
R00954,24,18,262.63
R00955,73,13,211.85
R00956,26,17,248.63
R00957,31,21,350.37
R00958,34,19,297.87
R00959,35,22,381.84
R00960,122,11,179.01999999999998
R00961,34,19,330.71
R00962,24,20,315.92
R00963,68,10,137.22
R00964,52,18,275.27
R00965,67,21,297.13
R00966,23,22,345.03000000000003
R00967,25,17,275.09
R00968,35,20,343.4
R00969,27,22,316.75
R00970,29,22,386.27
R00971,47,22,359.3
R00972,34,17,245.78
R00973,54,27,374.11
R00974,26,19,269.35
R00975,31,14,209.9
R00976,61,16,244.6
R00977,78,21,334.93
R00978,31,18,309.07
R00979,26,23,365.37
R00980,46,17,246.15
R00981,35,22,292.87
R00982,40,26,384.9
R00983,85,15,270.58
R00984,28,13,199.2
R00985,36,25,376.84
R00986,34,25,416.6
R00987,30,24,408.17
R00988,79,19,318.19
R00989,28,26,353.44
R00990,31,15,222.5
R00991,56,12,209.99
R00992,32,23,352.88
R00993,46,16,264.43
R00994,42,20,301.09
R00995,27,19,299.01
R00996,34,17,317.98
R00997,28,22,369.81
R00998,34,24,344.2
R00999,36,17,279.05
R01000,37,15,254.27
R01001,49,18,278.67
R01002,33,25,407.08
R01003,26,22,360.15
R01004,39,20,271.27
R01005,37,20,301.31
R01006,42,19,275.62
R01007,83,14,219.55
R01008,24,21,316.15999999999997
R01009,28,21,356.24
R01010,29,21,311.19
R01011,27,24,352.96
R01012,30,19,286.03
R01013,44,21,319.66
R01014,40,19,319.5
R01015,46,24,393.65
R01016,25,23,287.05
R01017,39,14,236.94
R01018,26,17,308.19
R01019,29,20,241.61
R01020,38,21,283.09
R01021,27,21,307.58
R01022,27,18,284.98
R01023,27,26,422.76
R01024,78,17,235.96
R01025,34,20,315.09
R01026,27,20,295.07
R01027,26,22,300.41
R01028,58,16,264.67
R01029,120,15,238.58
R01030,27,21,362.6
R01031,24,22,329.0
R01032,37,21,305.61
R01033,27,16,231.23
R01034,25,33,585.66
R01035,55,21,297.84
R01036,24,18,259.1
R01037,34,25,305.12
R01038,58,29,497.08
R01039,57,18,283.08
R01040,69,21,341.99
R01041,38,15,199.13
R01042,29,25,373.64
R01043,43,24,316.75
R01044,25,19,282.59000000000003
R01045,53,16,270.59
R01046,25,23,413.68
R01047,27,17,247.5
R01048,25,14,172.85
R01049,48,17,270.19
R01050,23,26,369.56
R01051,90,14,199.78
R01052,25,18,244.32
R01053,37,19,303.0
R01054,25,30,477.63
R01055,24,20,277.79
R01056,23,18,296.47
R01057,45,19,262.74
R01058,25,21,339.15
R01059,110,18,266.62
R01060,60,22,422.54
R01061,56,17,269.94
R01062,37,20,328.71
R01063,63,18,285.05
R01064,38,17,271.52
R01065,32,21,313.15
R01066,33,25,395.4
R01067,35,19,319.01
R01068,30,22,315.93
R01069,27,25,370.06
R01070,24,23,334.26
R01071,31,25,434.02
R01072,27,21,274.83
R01073,60,17,279.72
R01074,85,17,238.54999999999998
R01075,31,19,295.19
R01076,34,16,241.22
R01077,32,13,174.16
R01078,56,19,261.42
R01079,40,22,331.27
R01080,84,20,315.76
R01081,52,22,340.3
R01082,50,26,392.31
R01083,27,17,282.59000000000003
R01084,58,14,210.67
R01085,25,18,246.10999999999999
R01086,64,17,253.09
R01087,46,21,276.38
R01088,24,27,437.49
R01089,77,18,301.11
R01090,30,20,302.40999999999997
R01091,52,22,358.7
R01092,28,16,218.57
R01093,28,14,235.19
R01094,33,15,216.46
R01095,60,16,308.15
R01096,73,20,318.76
R01097,32,15,235.1
R01098,90,23,362.83
R01099,29,20,295.32
R01100,68,27,451.21
R01101,24,24,348.74
R01102,23,17,223.39000000000001
R01103,32,21,336.02
R01104,26,15,205.12
R01105,23,19,280.91
R01106,34,26,465.86
R01107,44,22,364.09000000000003
R01108,33,23,339.40999999999997
R01109,25,17,230.35999999999999
R01110,32,8,136.45
R01111,76,17,240.4
R01112,54,17,293.5
R01113,68,22,353.28000000000003
R01114,47,10,175.25
R01115,61,22,327.17
R01116,34,23,358.16
R01117,33,15,201.17
R01118,80,18,270.49
R01119,23,22,380.58
R01120,30,22,350.67
R01121,70,21,307.26
R01122,41,25,381.33
R01123,24,25,405.25
R01124,37,20,286.61
R01125,40,17,228.46
R01126,36,22,353.95
R01127,28,19,265.0
R01128,24,19,289.64
R01129,27,19,284.52
R01130,26,18,272.91
R01131,25,18,253.74
R01132,64,19,262.21000000000004
R01133,26,14,189.3
R01134,25,21,305.62
R01135,54,12,190.41
R01136,59,13,206.81
R01137,24,21,386.5
